Total entries: 197,678

Rank  Name          Number       95%     %-age  Cumulative
                    in Sample    Conf.          %-age
----  ----          ---------    -----   ------  ----------


 111  PRICE               180 +- 59.6    0.09%  20.94%
 112  JAMES               179 +- 59.5    0.09%  21.03%
 113  SPENCER             178 +- 59.3    0.09%  21.12%
 114  GIBSON              176 +- 59.0    0.09%  21.21%
 115  WALLACE             173 +- 58.5    0.09%  21.30%
 116  BRADLEY             172 +- 58.3    0.09%  21.38%
 117  WEST                169 +- 57.8    0.09%  21.47%
 118  CARR                167 +- 57.5    0.08%  21.55%
 119  HUGHES              165 +- 57.1    0.08%  21.64%
 120  CRAWFORD            163 +- 56.8    0.08%  21.72%
 121  NICHOLS             162 +- 56.6    0.08%  21.80%
 122  HUDSON              161 +- 56.4    0.08%  21.88%
 123  GRIFFIN             157 +- 55.7    0.08%  21.96%
 124  LYNCH               157 +- 55.7    0.08%  22.04%
 125  PIERCE              156 +- 55.5    0.08%  22.12%
 126  CHASE               156 +- 55.5    0.08%  22.20%
 127  NELSON              156 +- 55.5    0.08%  22.28%
 128  HOPKINS             155 +- 55.4    0.08%  22.36%
 129  WARREN              154 +- 55.2    0.08%  22.43%
 130  JORDAN              154 +- 55.2    0.08%  22.51%
 131  DUNN                153 +- 55.0    0.08%  22.59%
 132  WILLIAMSON          151 +- 54.6    0.08%  22.67%
 133  LEONARD             150 +- 54.5    0.08%  22.74%
 134  CHAPMAN             149 +- 54.3    0.08%  22.82%
 135  GILBERT             148 +- 54.1    0.07%  22.89%
 136  SIMPSON             147 +- 53.9    0.07%  22.97%
 137  PARSONS             147 +- 53.9    0.07%  23.04%
 138  BLACK               143 +- 53.2    0.07%  23.11%
 139  HUNTER              143 +- 53.2    0.07%  23.19%
 140  BATES               143 +- 53.2    0.07%  23.26%
 141  CRANE               141 +- 52.8    0.07%  23.33%
 142  PECK                140 +- 52.6    0.07%  23.40%
 143  MILLS               140 +- 52.6    0.07%  23.47%
 144  BISHOP              138 +- 52.2    0.07%  23.54%
 145  WILLIAM             138 +- 52.2    0.07%  23.61%
 146  MATHEWS             138 +- 52.2    0.07%  23.68%
 147  BERRY               137 +- 52.0    0.07%  23.75%
 148  BRYANT              137 +- 52.0    0.07%  23.82%
 149  FOX                 136 +- 51.9    0.07%  23.89%
 150  KNIGHT              135 +- 51.7    0.07%  23.96%
 151  BARKER              134 +- 51.5    0.07%  24.02%
 152  AUSTIN              133 +- 51.3    0.07%  24.09%
 153  CHANDLER            132 +- 51.1    0.07%  24.16%
 154  ROBERTSON           131 +- 50.9    0.07%  24.22%
 155  GRAHAM              130 +- 50.7    0.07%  24.29%
 156  WEBSTER             130 +- 50.7    0.07%  24.36%
 157  FREEMAN             129 +- 50.5    0.07%  24.42%
 158  ROSE                129 +- 50.5    0.07%  24.49%
 159  NORRIS              128 +- 50.3    0.06%  24.55%
 160  POTTER              128 +- 50.3    0.06%  24.62%
 161  NEWTON              128 +- 50.3    0.06%  24.68%
 162  BUTLER              128 +- 50.3    0.06%  24.75%
 163  PERKINS             127 +- 50.1    0.06%  24.81%
 164  CUNNINGHAM          126 +- 49.9    0.06%  24.87%
 165  LANE                126 +- 49.9    0.06%  24.94%
 166  SIMMONS             125 +- 49.7    0.06%  25.00%
 167  KELLEY              125 +- 49.7    0.06%  25.06%
 168  JENKINS             124 +- 49.5    0.06%  25.13%
 169  HARRINGTON          124 +- 49.5    0.06%  25.19%
 170  SANDERS             124 +- 49.5    0.06%  25.25%
 171  COBB                124 +- 49.5    0.06%  25.31%
 172  WOLF                123 +- 49.3    0.06%  25.38%
 173  BALDWIN             123 +- 49.3    0.06%  25.44%
 174  WARNER              122 +- 49.1    0.06%  25.50%
 175  CONNER              122 +- 49.1    0.06%  25.56%
 176  MILES               121 +- 48.9    0.06%  25.62%
 177  RYAN                121 +- 48.9    0.06%  25.69%
 178  GRANT               121 +- 48.9    0.06%  25.75%
 179  FRY                 120 +- 48.7    0.06%  25.81%
 180  STEPHENS            119 +- 48.5    0.06%  25.87%
 181  MURRAY              119 +- 48.5    0.06%  25.93%
 182  FRENCH              119 +- 48.5    0.06%  25.99%
 183  MORRISON            119 +- 48.5    0.06%  26.05%
 184  BARTLETT            118 +- 48.3    0.06%  26.11%
 185  HAYS                118 +- 48.3    0.06%  26.17%
 186  EATON               117 +- 48.1    0.06%  26.23%
 187  WILCOX              116 +- 47.9    0.06%  26.29%
 188  BARBER              116 +- 47.9    0.06%  26.34%
 189  PAGE                116 +- 47.9    0.06%  26.40%
 190  CURTIS              115 +- 47.7    0.06%  26.46%
 191  DEAN                115 +- 47.7    0.06%  26.52%
 192  HOLMES              115 +- 47.7    0.06%  26.58%
 193  BOWMAN              114 +- 47.5    0.06%  26.63%
 194  PHELPS              114 +- 47.5    0.06%  26.69%
 195  ELLIOTT             113 +- 47.3    0.06%  26.75%
 196  HICKS               113 +- 47.3    0.06%  26.81%
 197  RICHARDS            113 +- 47.3    0.06%  26.86%
 198  BRADY               112 +- 47.1    0.06%  26.92%
 199  DRAKE               112 +- 47.1    0.06%  26.98%
 200  HOFFMAN             112 +- 47.1    0.06%  27.03%
 201  KENNEDY             110 +- 46.6    0.06%  27.09%
 202  MARSH               110 +- 46.6    0.06%  27.15%
 203  PAYNE               110 +- 46.6    0.06%  27.20%
 204  ABBOTT              109 +- 46.4    0.06%  27.26%
 205  HAMMOND             109 +- 46.4    0.06%  27.31%
 206  ROWE                108 +- 46.2    0.05%  27.37%
 207  POWERS              106 +- 45.8    0.05%  27.42%
 208  FORD                106 +- 45.8    0.05%  27.47%
 209  BLAKE               106 +- 45.8    0.05%  27.53%
 210  FERGUSON            104 +- 45.3    0.05%  27.58%
 211  WEBB                104 +- 45.3    0.05%  27.63%
 212  MONTGOMERY          104 +- 45.3    0.05%  27.68%
 213  TOWNSEND            104 +- 45.3    0.05%  27.74%
 214  WOODS               104 +- 45.3    0.05%  27.79%
 215  OWEN                101 +- 44.7    0.05%  27.84%
 216  RODGERS             101 +- 44.7    0.05%  27.89%
 217  BRIGGS              100 +- 44.5    0.05%  27.94%
 218  WATKINS             100 +- 44.5    0.05%  27.99%
 219  DIXON               100 +- 44.5    0.05%  28.04%
 220  HORTON               99 +- 44.2    0.05%  28.09%
 221  BURNETT              99 +- 44.2    0.05%  28.14%
 222  HOLT                 99 +- 44.2    0.05%  28.19%
 223  HOLLAND              99 +- 44.2    0.05%  28.24%
 224  GRAVES               99 +- 44.2    0.05%  28.29%
 225  WHITNEY              98 +- 44.0    0.05%  28.34%
 226  LUCAS                97 +- 43.8    0.05%  28.39%
 227  GOODWIN              96 +- 43.6    0.05%  28.44%
 228  PETERS               96 +- 43.6    0.05%  28.49%
 229  DOUGLASS             96 +- 43.6    0.05%  28.54%
 230  HIGGINS              95 +- 43.3    0.05%  28.59%
 231  FOWLER               95 +- 43.3    0.05%  28.63%
 232  BARTON               94 +- 43.1    0.05%  28.68%
 233  PHILIPS              94 +- 43.1    0.05%  28.73%
 234  NEWMAN               93 +- 42.9    0.05%  28.78%
 235  COLEMAN              93 +- 42.9    0.05%  28.82%
 236  LITTLE               93 +- 42.9    0.05%  28.87%
 237  RAY                  93 +- 42.9    0.05%  28.92%
 238  GRIFFITH             92 +- 42.7    0.05%  28.96%
 239  BLACKBURN            92 +- 42.7    0.05%  29.01%
 240  TUTTLE               92 +- 42.7    0.05%  29.06%
 241  TYLER                92 +- 42.7    0.05%  29.10%
 242  WILLIS               91 +- 42.4    0.05%  29.15%
 243  FARMER               91 +- 42.4    0.05%  29.20%
 244  GORDON               91 +- 42.4    0.05%  29.24%
 245  LOOMIS               91 +- 42.4    0.05%  29.29%
 246  BIRD                 91 +- 42.4    0.05%  29.33%
 247  MAXWELL              90 +- 42.2    0.05%  29.38%
 248  FRANKLIN             90 +- 42.2    0.05%  29.43%
 249  MORTON               90 +- 42.2    0.05%  29.47%
 250  PRESTON              90 +- 42.2    0.05%  29.52%
 251  WATERS               90 +- 42.2    0.05%  29.56%
 252  WOODWARD             89 +- 42.0    0.05%  29.61%
 253  NORTON               89 +- 42.0    0.05%  29.65%
 254  FIELDS               89 +- 42.0    0.05%  29.70%
 255  GOULD                89 +- 42.0    0.05%  29.74%
 256  KIMBALL              89 +- 42.0    0.05%  29.79%
 257  SHARP                89 +- 42.0    0.05%  29.83%
 258  MORSE                89 +- 42.0    0.05%  29.88%
 259  WISE                 88 +- 41.7    0.04%  29.92%
 260  BOWEN                88 +- 41.7    0.04%  29.97%
 261  DAVIDSON             87 +- 41.5    0.04%  30.01%
 262  BECK                 87 +- 41.5    0.04%  30.05%
 263  HOWE                 87 +- 41.5    0.04%  30.10%
 264  CALDWELL             86 +- 41.2    0.04%  30.14%
 265  DANIELS              86 +- 41.2    0.04%  30.18%
 266  WADE                 86 +- 41.2    0.04%  30.23%
 267  CHAMBERS             86 +- 41.2    0.04%  30.27%
 268  EMERSON              86 +- 41.2    0.04%  30.32%
 269  DICKINSON            85 +- 41.0    0.04%  30.36%
 270  JOHN                 85 +- 41.0    0.04%  30.40%
 271  HULL                 85 +- 41.0    0.04%  30.44%
 272  SKINNER              85 +- 41.0    0.04%  30.49%
 273  LYON                 85 +- 41.0    0.04%  30.53%
 274  PAINE                84 +- 40.8    0.04%  30.57%
 275  GIBBS                84 +- 40.8    0.04%  30.62%
 276  HUMPHREY             84 +- 40.8    0.04%  30.66%
 277  DODGE                83 +- 40.5    0.04%  30.70%
 278  LAWRENCE             83 +- 40.5    0.04%  30.74%
 279  OLIVER               83 +- 40.5    0.04%  30.78%
 280  GREGORY              83 +- 40.5    0.04%  30.83%
 281  RHODES               83 +- 40.5    0.04%  30.87%
 282  AYRES                83 +- 40.5    0.04%  30.91%
 283  CLARKE               83 +- 40.5    0.04%  30.95%
 284  KERR                 82 +- 40.3    0.04%  30.99%
 285  PETERSON             82 +- 40.3    0.04%  31.03%
 286  AVERY                81 +- 40.0    0.04%  31.08%
 287  BENSON               81 +- 40.0    0.04%  31.12%
 288  WATTS                81 +- 40.0    0.04%  31.16%
 289  MANN                 81 +- 40.0    0.04%  31.20%
 290  GEORGE               81 +- 40.0    0.04%  31.24%
 291  PARKS                81 +- 40.0    0.04%  31.28%
 292  CROSS                80 +- 39.8    0.04%  31.32%
 293  BLAIR                80 +- 39.8    0.04%  31.36%
 294  HARVEY               79 +- 39.5    0.04%  31.40%
 295  MURRY                79 +- 39.5    0.04%  31.44%
 296  FRANCIS              79 +- 39.5    0.04%  31.48%
 297  ROBBINS              79 +- 39.5    0.04%  31.52%
 298  BUSH                 79 +- 39.5    0.04%  31.56%
 299  ENGLISH              79 +- 39.5    0.04%  31.60%
 300  SHAFFER              78 +- 39.3    0.04%  31.64%
 301  GARRETT              78 +- 39.3    0.04%  31.68%
 302  WEEKS                78 +- 39.3    0.04%  31.72%
 303  CASE                 78 +- 39.3    0.04%  31.76%
 304  HOUSE                77 +- 39.0    0.04%  31.80%
 305  OWENS                77 +- 39.0    0.04%  31.84%
 306  EWING                77 +- 39.0    0.04%  31.88%
 307  RAMSEY               77 +- 39.0    0.04%  31.92%
 308  FLEMING              77 +- 39.0    0.04%  31.95%
 309  BALL                 77 +- 39.0    0.04%  31.99%
 310  DECKER               77 +- 39.0    0.04%  32.03%
 311  NORTH                76 +- 38.8    0.04%  32.07%
 312  HUBBARD              76 +- 38.8    0.04%  32.11%
 313  SAWYER               76 +- 38.8    0.04%  32.15%
 314  BOOTH                76 +- 38.8    0.04%  32.19%
 315  SAVAGE               76 +- 38.8    0.04%  32.22%
 316  LOGAN                76 +- 38.8    0.04%  32.26%
 317  THORNTON             76 +- 38.8    0.04%  32.30%
 318  BENNET               76 +- 38.8    0.04%  32.34%
 319  KNAPP                76 +- 38.8    0.04%  32.38%
 320  SNOW                 75 +- 38.5    0.04%  32.42%
 321  RANDALL              75 +- 38.5    0.04%  32.45%
 322  BLANCHARD            75 +- 38.5    0.04%  32.49%
 323  LAWSON               75 +- 38.5    0.04%  32.53%
 324  CRAIG                74 +- 38.3    0.04%  32.57%
 325  THAYER               74 +- 38.3    0.04%  32.60%
 326  DUNCAN               74 +- 38.3    0.04%  32.64%
 327  DUNHAM               74 +- 38.3    0.04%  32.68%
 328  CHAMBERLAIN          73 +- 38.0    0.04%  32.72%
 329  CARROLL              73 +- 38.0    0.04%  32.75%
 330  KELLER               72 +- 37.7    0.04%  32.79%
 331  SNIDER               72 +- 37.7    0.04%  32.83%
 332  MAY                  72 +- 37.7    0.04%  32.86%
 333  SUMMERS              71 +- 37.5    0.04%  32.90%
 334  OSBORN               71 +- 37.5    0.04%  32.93%
 335  IRWIN                71 +- 37.5    0.04%  32.97%
 336  VAUGHN               71 +- 37.5    0.04%  33.01%
 337  UNDERWOOD            71 +- 37.5    0.04%  33.04%
 338  SUTTON               71 +- 37.5    0.04%  33.08%
 339  STEWARD              70 +- 37.2    0.04%  33.11%
 340  CANNON               70 +- 37.2    0.04%  33.15%
 341  SHERMAN              69 +- 36.9    0.03%  33.18%
 342  WASHBURN             69 +- 36.9    0.03%  33.22%
 343  YATES                69 +- 36.9    0.03%  33.25%
 344  FITZGERALD           69 +- 36.9    0.03%  33.29%
 345  HUTCHINSON           69 +- 36.9    0.03%  33.32%
 346  BURGESS              68 +- 36.7    0.03%  33.36%
 347  DENNIS               68 +- 36.7    0.03%  33.39%
 348  WILEY                68 +- 36.7    0.03%  33.43%
 349  CUMMINGS             68 +- 36.7    0.03%  33.46%
 350  BREWER               68 +- 36.7    0.03%  33.50%
 351  BARNETT              68 +- 36.7    0.03%  33.53%
 352  SAMPSON              68 +- 36.7    0.03%  33.56%
 353  TERRY                68 +- 36.7    0.03%  33.60%
 354  HUFF                 68 +- 36.7    0.03%  33.63%
 355  ALLISON              68 +- 36.7    0.03%  33.67%
 356  BABCOCK              68 +- 36.7    0.03%  33.70%
 357  TODD                 68 +- 36.7    0.03%  33.74%
 358  GILES                68 +- 36.7    0.03%  33.77%
 359  JACOBS               67 +- 36.4    0.03%  33.80%
 360  WOODRUFF             67 +- 36.4    0.03%  33.84%
 361  HOOVER               67 +- 36.4    0.03%  33.87%
 362  HUGHS                67 +- 36.4    0.03%  33.91%
 363  PIKE                 67 +- 36.4    0.03%  33.94%
 364  PEASE                67 +- 36.4    0.03%  33.97%
 365  LYONS                67 +- 36.4    0.03%  34.01%
 366  HARDY                67 +- 36.4    0.03%  34.04%
 367  SLATER               67 +- 36.4    0.03%  34.08%
 368  GREY                 66 +- 36.1    0.03%  34.11%
 369  BURTON               66 +- 36.1    0.03%  34.14%
 370  WAGNER               66 +- 36.1    0.03%  34.18%
 371  STOUT                66 +- 36.1    0.03%  34.21%
 372  ROACH                66 +- 36.1    0.03%  34.24%
 373  HOYT                 66 +- 36.1    0.03%  34.28%
 374  JENNINGS             66 +- 36.1    0.03%  34.31%
 375  NOBLE                66 +- 36.1    0.03%  34.34%
 376  MOYER                66 +- 36.1    0.03%  34.38%
 377  MONROE               66 +- 36.1    0.03%  34.41%
 378  HARPER               65 +- 35.9    0.03%  34.44%
 379  WHITING              65 +- 35.9    0.03%  34.48%
 380  HAYNES               65 +- 35.9    0.03%  34.51%
 381  MERRILL              65 +- 35.9    0.03%  34.54%
 382  STRICKLAND           65 +- 35.9    0.03%  34.57%
 383  BROWNING             65 +- 35.9    0.03%  34.61%
 384  BUCK                 65 +- 35.9    0.03%  34.64%
 385  WILKINSON            65 +- 35.9    0.03%  34.67%
 386  HALE                 64 +- 35.6    0.03%  34.70%
 387  MOODY                64 +- 35.6    0.03%  34.74%
 388  SPRAGUE              64 +- 35.6    0.03%  34.77%
 389  PITTS                64 +- 35.6    0.03%  34.80%
 390  GILMORE              64 +- 35.6    0.03%  34.83%
 391  BARRETT              64 +- 35.6    0.03%  34.87%
 392  FLETCHER             63 +- 35.3    0.03%  34.90%
 393  HOWELL               63 +- 35.3    0.03%  34.93%
 394  PEARCE               63 +- 35.3    0.03%  34.96%
 395  CAMP                 63 +- 35.3    0.03%  34.99%
 396  RUSH                 62 +- 35.0    0.03%  35.03%
 397  ROBERSON             62 +- 35.0    0.03%  35.06%
 398  CONWAY               62 +- 35.0    0.03%  35.09%
 399  HOGAN                62 +- 35.0    0.03%  35.12%
 400  BAXTER               62 +- 35.0    0.03%  35.15%
 401  HOPPER               62 +- 35.0    0.03%  35.18%
 402  BRYAN                61 +- 34.7    0.03%  35.21%
 403  MACK                 61 +- 34.7    0.03%  35.24%
 404  BOND                 61 +- 34.7    0.03%  35.28%
 405  DOW                  61 +- 34.7    0.03%  35.31%
 406  MANNING              61 +- 34.7    0.03%  35.34%
 407  CONKLIN              60 +- 34.4    0.03%  35.37%
 408  HORN                 60 +- 34.4    0.03%  35.40%
 409  DRAPER               60 +- 34.4    0.03%  35.43%
 410  HOOD                 60 +- 34.4    0.03%  35.46%
 411  MATTHEWS             60 +- 34.4    0.03%  35.49%
 412  FINK                 60 +- 34.4    0.03%  35.52%
 413  ROBISON              60 +- 34.4    0.03%  35.55%
 414  CONOVER              60 +- 34.4    0.03%  35.58%
 415  MCDONALD             60 +- 34.4    0.03%  35.61%
 416  HAMPTON              59 +- 34.2    0.03%  35.64%
 417  REEVES               59 +- 34.2    0.03%  35.67%
 418  WALTON               59 +- 34.2    0.03%  35.70%
 419  MORE                 59 +- 34.2    0.03%  35.73%
 420  HICKMAN              59 +- 34.2    0.03%  35.76%
 421  DICKSON              59 +- 34.2    0.03%  35.79%
 422  VANCE                58 +- 33.9    0.03%  35.82%
 423  ROWLAND              58 +- 33.9    0.03%  35.85%
 424  BARNARD              57 +- 33.6    0.03%  35.88%
 425  BRUCE                57 +- 33.6    0.03%  35.91%
 426  RICH                 57 +- 33.6    0.03%  35.93%
 427  GRISWOLD             57 +- 33.6    0.03%  35.96%
 428  LOCKWOOD             57 +- 33.6    0.03%  35.99%
 429  SHEPHERD             57 +- 33.6    0.03%  36.02%
 430  %                    57 +- 33.6    0.03%  36.05%
 431  HODGES               57 +- 33.6    0.03%  36.08%
 432  ELY                  57 +- 33.6    0.03%  36.11%
 433  DUNLAP               57 +- 33.6    0.03%  36.14%
 434  BARRY                57 +- 33.6    0.03%  36.16%
 435  BULLOCK              57 +- 33.6    0.03%  36.19%
 436  CAMERON              56 +- 33.3    0.03%  36.22%
 437  HARMON               56 +- 33.3    0.03%  36.25%
 438  MALONE               56 +- 33.3    0.03%  36.28%
 439  HATHAWAY             56 +- 33.3    0.03%  36.31%
 440  CLAY                 56 +- 33.3    0.03%  36.34%
 441  HOLBROOK             56 +- 33.3    0.03%  36.36%
 442  FORBES               56 +- 33.3    0.03%  36.39%
 443  COTTON               55 +- 33.0    0.03%  36.42%
 444  WALTERS              55 +- 33.0    0.03%  36.45%
 445  HARDING              55 +- 33.0    0.03%  36.48%
 446  WILDER               55 +- 33.0    0.03%  36.50%
 447  FARLEY               55 +- 33.0    0.03%  36.53%
 448  DORSEY               55 +- 33.0    0.03%  36.56%
 449  CARVER               55 +- 33.0    0.03%  36.59%
 450  RICHMOND             55 +- 33.0    0.03%  36.61%
 451  LAMBERT              55 +- 33.0    0.03%  36.64%
 452  SANDERSON            55 +- 33.0    0.03%  36.67%
 453  SHORT                55 +- 33.0    0.03%  36.70%
 454  NEFF                 55 +- 33.0    0.03%  36.73%
 455  GOLDEN               55 +- 33.0    0.03%  36.75%
 456  DOYLE                55 +- 33.0    0.03%  36.78%
 457  LAKE                 55 +- 33.0    0.03%  36.81%
 458  HOUSTON              55 +- 33.0    0.03%  36.84%
 459  LAY                  55 +- 33.0    0.03%  36.87%
 460  STRONG               55 +- 33.0    0.03%  36.89%
 461  DUDLEY               54 +- 32.7    0.03%  36.92%
 462  MARKS                54 +- 32.7    0.03%  36.95%
 463  FARR                 54 +- 32.7    0.03%  36.97%
 464  SPARKS               54 +- 32.7    0.03%  37.00%
 465  BROCK                54 +- 32.7    0.03%  37.03%
 466  BURKE                54 +- 32.7    0.03%  37.06%
 467  REID                 54 +- 32.7    0.03%  37.08%
 468  PLACE                54 +- 32.7    0.03%  37.11%
 469  BANKS                54 +- 32.7    0.03%  37.14%
 470  ESTES                54 +- 32.7    0.03%  37.17%
 471  GROVE                54 +- 32.7    0.03%  37.19%
 472  CLINE                53 +- 32.4    0.03%  37.22%
 473  NIXON                53 +- 32.4    0.03%  37.25%
 474  BEAN                 53 +- 32.4    0.03%  37.27%
 475  DANIEL               53 +- 32.4    0.03%  37.30%
 476  HUFFMAN              53 +- 32.4    0.03%  37.33%
 477  GATES                53 +- 32.4    0.03%  37.35%
 478  RICHARD              53 +- 32.4    0.03%  37.38%
 479  SHELDON              53 +- 32.4    0.03%  37.41%
 480  WALTER               53 +- 32.4    0.03%  37.43%
 481  SEARS                53 +- 32.4    0.03%  37.46%
 482  DIBBLE               53 +- 32.4    0.03%  37.49%
 483  KENDALL              53 +- 32.4    0.03%  37.52%
 484  RANDOLPH             53 +- 32.4    0.03%  37.54%
 485  DENTON               53 +- 32.4    0.03%  37.57%
 486  GILL                 53 +- 32.4    0.03%  37.60%
 487  CARSON               52 +- 32.1    0.03%  37.62%
 488  CAREY                52 +- 32.1    0.03%  37.65%
 489  NEAL                 52 +- 32.1    0.03%  37.67%
 490  STEVENSON            52 +- 32.1    0.03%  37.70%
 491  WILLSON              52 +- 32.1    0.03%  37.73%
 492  BURT                 52 +- 32.1    0.03%  37.75%
 493  RIDER                52 +- 32.1    0.03%  37.78%
 494  BEARD                52 +- 32.1    0.03%  37.81%
 495  GILLESPIE            52 +- 32.1    0.03%  37.83%
 496  LOVE                 52 +- 32.1    0.03%  37.86%
